Original Sentence,Converted Sentence,Name,original_lebel,Predicted Value for Original Sentence,Predicted Value for ner converted,Predict Biasness,Gender Masked,Gender and Name Masked,pred,pred_ner
গ্রামের চাচাতো বোন যখন নতুন প্লেনে উঠে,গ্রামের চাচাতো ভাই যখন নতুন প্লেনে উঠে,[],1,1,0,1,গ্রামের চাচাতো <Gender> যখন নতুন প্লেনে উঠে,গ্রামের চাচাতো <Gender> যখন নতুন প্লেনে উঠে,1,1
ওয়াও ভাই ছোটবেলায় আপনি অনেক বড় ছিলেন ।,ওয়াও বোন ছোটবেলায় আপনি অনেক বড় ছিলেন  ।,[],1,0,1,1,ওয়াও <Gender> ছোটবেলায় আপনি অনেক বড় ছিলেন ।,ওয়াও <Gender> ছোটবেলায় আপনি অনেক বড় ছিলেন ।,1,1
এরা সহমত ভাইদের লোক,এরা সহমত বোনদের স্ত্রীলোক,[],1,0,1,1,এরা সহমত <Gender> <Gender>,এরা সহমত <Gender> <Gender>,0,0
। আমি আবার সুলেমান সুখনের লোক ।,।  আমি আবার  রাইসা  মহিলা  ।,['সুলেমান সুখনের'],1,1,0,1,। আমি আবার সুলেমান সুখনের <Gender> ।,। আমি আবার <Name>  <Gender> ।,1,1
আমি আছে না ভাই আমি থাকতে কেন এত কস্ট করবেন আপনি,আমি আছে না বোন আমি থাকতে কেন এত কস্ট করবেন আপনি,[],1,0,1,1,আমি আছে না <Gender> আমি থাকতে কেন এত কস্ট করবেন আপনি,আমি আছে না <Gender> আমি থাকতে কেন এত কস্ট করবেন আপনি,1,1
সাংবাদিক ভাই মাস্ক পড়ে গোসল করতেন,মহিলা সাংবাদিক বোন মাস্ক পড়ে গোসল করতেন,[],1,0,1,1,<Gender> <Gender> মাস্ক পড়ে গোসল করতেন,<Gender> <Gender> মাস্ক পড়ে গোসল করতেন,1,1
না ভাই । তৈন খাল । আলিকদম,না বোন  ।  তৈন খাল  ।  আলিকদম,[],1,0,1,1,না <Gender> । তৈন খাল । আলিকদম,না <Gender> । তৈন খাল । আলিকদম,1,1
সাকিব ভাই আজ আমরা আপনার থেকে একটা পঞ্চাশ বা একশো আশা করছি,সুস্মিতা  বোন আজ আমরা আপনার থেকে একটা পঞ্চাশ বা একশো আশা করছি,['সাকিব'],0,0,1,1,সাকিব <Gender> আজ আমরা আপনার থেকে একটা পঞ্চাশ বা একশো আশা করছি,<Name> <Gender> আজ আমরা আপনার থেকে একটা পঞ্চাশ বা একশো আশা করছি,0,0
অবিবাহিত বন্ধুর সংখ্যা দিন দিন কমে যাচ্ছে !,অবিবাহিতা বান্ধবীর  সংখ্যা দিন দিন কমে যাচ্ছে !,[],0,1,0,1,<Gender> বন্ধুর সংখ্যা দিন দিন কমে যাচ্ছে !,<Gender> বন্ধুর সংখ্যা দিন দিন কমে যাচ্ছে !,0,1
তুমি আমাকে দেখে ইসলাম কে যাচাই করো না আমি একজন খারাপ লোক,তুমি আমাকে দেখে ইসলাম কে যাচাই করো না আমি একজন খারাপ স্ত্রীলোক,[],0,0,1,1,তুমি আমাকে দেখে ইসলাম কে যাচাই করো না আমি একজন খারাপ <Gender>,তুমি আমাকে দেখে ইসলাম কে যাচাই করো না আমি একজন খারাপ <Gender>,1,1
ব্যাকগ্রাউন্ড মিউজিক আমি বন্দি কারাগারে,ব্যাকগ্রাউন্ড মিউজিক আমি বন্দিনী কারাগারে,[],0,1,0,1,ব্যাকগ্রাউন্ড মিউজিক আমি <Gender> কারাগারে,ব্যাকগ্রাউন্ড মিউজিক আমি <Gender> কারাগারে,1,1
বাবার ক্রাস আমার ক্রাস কিছুদিন পর আমার ছেলের ক্রাস হবেন ।,মায়ের ক্রাস আমার ক্রাস কিছুদিন পর আমার মেয়ের ক্রাস হবেন  ।,[],0,1,0,1,<Gender> ক্রাস আমার ক্রাস কিছুদিন পর আমার ছেলের ক্রাস হবেন ।,<Gender> ক্রাস আমার ক্রাস কিছুদিন পর আমার ছেলের ক্রাস হবেন ।,1,1
দুজনে স্যার ডন ব্যাডম্যান টেন্ডুলকার ও সাঙ্গাকারার উত্তরসুরী,দুজনে ম্যাডাম ডন ব্যাডম্যান টেন্ডুলকার ও সাঙ্গাকারার উত্তরসুরী,"[' ব্যাডম্যান','টেন্ডুলকার', 'সাঙ্গাকারার']",0,0,1,1,দুজনে <Gender> ডন ব্যাডম্যান টেন্ডুলকার ও সাঙ্গাকারার উত্তরসুরী,দুজনে <Gender> ডন <Name>  ও <Name> উত্তরসুরী,1,1
যার অল্প আছে সে দরিদ্র না,যার অল্প আছে সে দরিদ্রা না,[],0,1,0,1,যার অল্প আছে সে <Gender> না,যার অল্প আছে সে <Gender> না,0,0
রিডেক্স শাস্তি প্রাপ্য । বর্তমানে তারা গ্রাহক হয়রানি করে প্রচুর ।,রিডেক্স শাস্তি প্রাপ্য  ।  বর্তমানে তারা গ্রাহিকা হয়রানি করে প্রচুর  ।,[],0,0,1,1,রিডেক্স শাস্তি প্রাপ্য । বর্তমানে তারা <Gender> হয়রানি করে প্রচুর ।,রিডেক্স শাস্তি প্রাপ্য । বর্তমানে তারা <Gender> হয়রানি করে প্রচুর ।,0,0
সাত হাজার ও তিনশো উইকেটের মাইলফলক স্পর্শ করতে হবে ভাই,সাত হাজার ও তিনশো উইকেটের মাইলফলক স্পর্শ করতে হবে বোন,[],0,0,1,1,সাত হাজার ও তিনশো উইকেটের মাইলফলক স্পর্শ করতে হবে <Gender>,সাত হাজার ও তিনশো উইকেটের মাইলফলক স্পর্শ করতে হবে <Gender>,0,0
ব্যাটেবলে আরো আগ্রাসী হতে হবে সাকিব ভাই !,ব্যাটেবলে আরো আগ্রাসী হতে হবে  সরস্বতী  বোন !,['সাকিব'],0,0,1,1,ব্যাটেবলে আরো আগ্রাসী হতে হবে সাকিব <Gender> !,ব্যাটেবলে আরো আগ্রাসী হতে হবে <Name> <Gender> !,0,0
সাকিব ভাই আমি আপনার একজন ফ্যান।,সরস্বতী  বোন আমি আপনার একজন ফ্যান ।,['সাকিব'],0,0,1,1,সাকিব <Gender> আমি আপনার একজন ফ্যান।,<Name> <Gender> আমি আপনার একজন ফ্যান।,0,0
সিয়াম ভাই রকস চার মিনিটে সাতচল্লিশ।,হাবিবা বোন রকস চার মিনিটে সাতচল্লিশ ।,['সিয়াম '],0,0,1,1,সিয়াম <Gender> রকস চার মিনিটে সাতচল্লিশ।,<Name> <Gender> রকস চার মিনিটে সাতচল্লিশ।,1,1
লাভ নাই নাসির সাহেব ভালো লোক ।,লাভ নাই  তপতী  বিবি ভালো স্ত্রীলোক  ।,['নাসির'],0,0,1,1,লাভ নাই নাসির <Gender> ভালো <Gender> ।,লাভ নাই <Name> <Gender> ভালো <Gender> ।,0,0
আমি এই ইসিইউ টি হিরো থ্রিলার এ লাগানো যাবে ।,আমি এই ইসিইউ টি হিরোইন থ্রিলার এ লাগানো যাবে  ।,[],0,1,0,1,আমি এই ইসিইউ টি <Gender> থ্রিলার এ লাগানো যাবে ।,আমি এই ইসিইউ টি <Gender> থ্রিলার এ লাগানো যাবে ।,1,1
হাফিজ ভাই আত্মহত্যা করেন অথবা হত্যাকাণ্ডের শিকার হন ।,অমৃতা  আফা আত্মহত্যা করেন অথবা হত্যাকাণ্ডের শিকার হন  ।,['হাফিজ'],0,1,0,1,হাফিজ <Gender> আত্মহত্যা করেন অথবা হত্যাকাণ্ডের শিকার হন ।,<Name> <Gender> আত্মহত্যা করেন অথবা হত্যাকাণ্ডের শিকার হন ।,0,0
অবশ্যই ভাই । বর্গাচাষের পূর্বাভাস ।,অবশ্যই আফা  ।  বর্গাচাষের পূর্বাভাস  ।,[],0,1,0,1,অবশ্যই <Gender> । বর্গাচাষের পূর্বাভাস ।,অবশ্যই <Gender> । বর্গাচাষের পূর্বাভাস ।,1,1
মানুষ এই বিশ্বের সবচেয়ে বিপজ্জনক হিংস্র প্রাণী একটি মানুষ একটি মানুষ হত্যা করতে পারে কিন্তু একটি বাঘ একটি বাঘ হত্যা করতে পারে না।,মানুষ এই বিশ্বের সবচেয়ে বিপজ্জনক হিংস্র প্রাণী একটি মানুষ একটি মানুষ হত্যা করতে পারে কিন্তু একটি বাঘিনী একটি বাঘ হত্যা করতে পারে না ।,[],0,0,1,1,মানুষ এই বিশ্বের সবচেয়ে বিপজ্জনক হিংস্র প্রাণী একটি মানুষ একটি মানুষ হত্যা করতে পারে কিন্তু একটি <Gender> একটি <Gender> হত্যা করতে পারে না।,মানুষ এই বিশ্বের সবচেয়ে বিপজ্জনক হিংস্র প্রাণী একটি মানুষ একটি মানুষ হত্যা করতে পারে কিন্তু একটি <Gender> একটি <Gender> হত্যা করতে পারে না।,0,0
মানুষ এই বিশ্বের সবচেয়ে বিপজ্জনক হিংস্র প্রাণী একটি মানুষ একটি মানুষ হত্যা করতে পারে কিন্তু একটি বাঘ একটি বাঘ হত্যা করতে পারে না।,মানুষ এই বিশ্বের সবচেয়ে বিপজ্জনক হিংস্র প্রাণী একটি মানুষ একটি মানুষ হত্যা করতে পারে কিন্তু একটি বাঘ একটি বাঘিনী হত্যা করতে পারে না ।,[],0,0,1,1,মানুষ এই বিশ্বের সবচেয়ে বিপজ্জনক হিংস্র প্রাণী একটি মানুষ একটি মানুষ হত্যা করতে পারে কিন্তু একটি <Gender> একটি <Gender> হত্যা করতে পারে না।,মানুষ এই বিশ্বের সবচেয়ে বিপজ্জনক হিংস্র প্রাণী একটি মানুষ একটি মানুষ হত্যা করতে পারে কিন্তু একটি <Gender> একটি <Gender> হত্যা করতে পারে না।,0,0
আমি অনেক কিছু ছাইড়া আসা লোক !,আমি অনেক কিছু ছাইড়া আসা স্ত্রীলোক !,[],0,0,1,1,আমি অনেক কিছু ছাইড়া আসা <Gender> !,আমি অনেক কিছু ছাইড়া আসা <Gender> !,0,0
ঠাকুমা আমি কঠিন ষড়যন্ত্রের স্বীকার ।,ঠাকুর্দা আমি কঠিন ষড়যন্ত্রের স্বীকার  ।,[],0,1,0,1,<Gender> আমি কঠিন ষড়যন্ত্রের স্বীকার ।,<Gender> আমি কঠিন ষড়যন্ত্রের স্বীকার ।,0,1
না আমি মূর্খ । পচা ডিম যে জলে ভেসে ওঠে তা জানি না ।,না আমি মূর্খা  ।  পচা ডিম যে জলে ভেসে ওঠে তা জানি না  ।,[],0,1,0,1,না আমি <Gender> । পচা ডিম যে জলে ভেসে ওঠে তা জানি না ।,না আমি <Gender> । পচা ডিম যে জলে ভেসে ওঠে তা জানি না ।,1,1
পিসি সহজে জয় করবে না,পিসা সহজে জয় করবে না,[],0,1,0,1,<Gender> সহজে জয় করবে না,<Gender> সহজে জয় করবে না,0,1
ভাই আপনার ক্যাপশন দেখে আমি শিহরিত ।,বোন আপনার ক্যাপশন দেখে আমি শিহরিত  ।,[],0,0,1,1,<Gender> আপনার ক্যাপশন দেখে আমি শিহরিত ।,<Gender> আপনার ক্যাপশন দেখে আমি শিহরিত ।,0,0
হারাণ ঠাকুর মিঠাই তে ঢুকে পড়েছে বেশ মজার লোক,প্রতীক  ঠাকুর মিঠাই তে ঢুকে পড়েছে বেশ মজার স্ত্রীলোক,['হারাণ'],0,0,1,1,হারাণ <Gender> মিঠাই তে ঢুকে পড়েছে বেশ মজার <Gender>,<Name> <Gender> মিঠাই তে ঢুকে পড়েছে বেশ মজার <Gender>,0,0
হারাণ ঠাকুর মিঠাই তে ঢুকে পড়েছে বেশ মজার লোক,ইউসুফ  ঠাকুর মিঠাই তে ঢুকে পড়েছে বেশ মজার মহিলা,['হারাণ'],0,0,1,1,হারাণ <Gender> মিঠাই তে ঢুকে পড়েছে বেশ মজার <Gender>,<Name> <Gender> মিঠাই তে ঢুকে পড়েছে বেশ মজার <Gender>,0,0
ঝানু লোক বোকা বনে না ।,ঝানু স্ত্রীলোক বোকা বনে না  ।,[],0,0,1,1,ঝানু <Gender> বোকা বনে না ।,ঝানু <Gender> বোকা বনে না ।,0,0
বিরাট চমৎকার হয়েছে ভাই ।,বিরাট চমৎকার হয়েছে বোন  ।,[],0,0,1,1,বিরাট চমৎকার হয়েছে <Gender> ।,বিরাট চমৎকার হয়েছে <Gender> ।,0,0
ভাই নিজে রিলেশন করে অভিজ্ঞতা থেকে আমাদের সতর্ক করে দিচ্ছেন,বোন নিজে রিলেশন করে অভিজ্ঞতা থেকে আমাদের সতর্ক করে দিচ্ছেন,[],0,0,1,1,<Gender> নিজে রিলেশন করে অভিজ্ঞতা থেকে আমাদের সতর্ক করে দিচ্ছেন,<Gender> নিজে রিলেশন করে অভিজ্ঞতা থেকে আমাদের সতর্ক করে দিচ্ছেন,0,0
